X,Y,objectid,feature_type,industry_id,station_name,station_owner,station_description,station_address,station_suburb,station_postcode,station_state,operational_status,spatial_confidence,gnaf_assignment_method,station_revised_date,gnaf_formatted_address,gnaf_address_detail_pid,gnaf_confidence,gnaf_suburb,gnaf_postcode,distance_to_gnaf
115.968131,-31.8326299999999,1,PETROL STATION,,7-ELEVEN BRABHAM,7-ELEVEN,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,3 MARVEL ENTRANCE,BRABHAM,6055,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,22/02/2022,3 MARVEL ENTRANCE,GAWA_720891476,1,BRABHAM,6055,58
123.6294,-17.3054099999999,2,PETROL STATION,,DERBY TYRE & EXHAUST,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,46 CLARENDON STREET,DERBY,6728,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,46 CLARENDON STREET,GAWA_146991646,1,DERBY,6728,0
115.802588,-32.0937979999999,3,PETROL STATION,,UNITED BIBRA LAKE,UNITED,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,13 WHYALLA COURT,BIBRA LAKE,6163,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,13 WHYALLA COURT,GAWA_147227521,1,BIBRA LAKE,6163,19.79999924
115.69551,-31.6382639999999,4,PETROL STATION,,COLES EXPRESS BUTLER,COLES EXPRESS,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,61 BUTLER BOULEVARD,BUTLER,6036,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,61 BUTLER BOULEVARD,GAWA_718869947,1,BUTLER,6036,6.9000001
115.843357,-32.127157,5,PETROL STATION,,BP BEELIAR,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,701 BEELIAR DRIVE,COCKBURN CENTRAL,6164,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,701 BEELIAR DRIVE,GAWA_718295488,1,COCKBURN CENTRAL,6164,13.60000038
115.759436,-32.0051809999999,6,PETROL STATION,,COLES EXPRESS MOSMAN PARK,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,582 STIRLING HIGHWAY,MOSMAN PARK,6012,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,582 STIRLING HIGHWAY,GAWA_146709586,1,MOSMAN PARK,6012,19.29999924
116.121421,-32.105085,7,PETROL STATION,,TOMEO'S SERVICE STATION,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1287 BROOKTON HIGHWAY,KARRAGULLEN,6111,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1287 BROOKTON HIGHWAY,GAWA_146714023,2,KARRAGULLEN,6111,33.5
116.089879,-31.901089,8,PETROL STATION,,GLEN FORREST FUEL,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,20 GREAT EASTERN HIGHWAY,GLEN FORREST,6071,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,20 GREAT EASTERN HIGHWAY,GAWA_146714039,2,GLEN FORREST,6071,9.39999962
115.788817,-31.8069589999999,9,PETROL STATION,,CALTEX WOOLWORTHS KINGSLEY,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,86 KINGSLEY DRIVE,KINGSLEY,6026,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,86 KINGSLEY DRIVE,GAWA_146869101,1,KINGSLEY,6026,0.69999999
114.62428,-28.768988,10,PETROL STATION,,SHELL WONTHELLA,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,115 NORTH WEST COASTAL HIGHWAY,WONTHELLA,6530,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,115 NORTH WEST COASTAL HIGHWAY,GAWA_149155814,1,WONTHELLA,6530,1.20000005
115.980362,-32.13688,11,PETROL STATION,,CALTEX SEVILLE GROVE,CALTEX,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,537 LAKE ROAD,SEVILLE GROVE,6112,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,537 LAKE ROAD,GAWA_147370177,1,SEVILLE GROVE,6112,0.89999998
115.812641,-31.84448,12,PETROL STATION,,COLES EXPRESS WARWICK,SHELL,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,274 ERINDALE ROAD,WARWICK,6024,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,274 ERINDALE ROAD,GAWA_146566669,1,WARWICK,6024,1.5
115.708348,-33.3447459999999,13,PETROL STATION,6669,BP BUNBURY SHOP FRONT,BP,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,2 WETHERLY DRIVE,PICTON,6229,WA,OPERATIONAL,5,GNAF ADDRESS MATCH,25/07/2011,2 WETHERLY DRIVE,GAWA_163343713,0,PICTON,6229,51.59999847
116.115545,-32.0862729999999,14,PETROL STATION,,HILLS EMPORIO,INDEPENDENT,AN ESTABLISHMENT WHERE A RANGE OF FUEL PRODUCTS CAN BE PURCHASED BY MOTORISTS,1615 CANNING ROAD,KARRAGULLEN,6111,WA,OPERATIONAL,1,GNAF ADDRESS MATCH,22/02/2022,1615 CANNING ROAD,GAWA_146709988,1,KARRAGULLEN,6111,2.4000001
