stationid,brandid,brand,code,name,address,latitude,longitude,isAdBlueAvailable,fueltype,price,lastupdated
1-GN9E-0,1-GFYV-4,Coles Express,1,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,False,DL,179.9,27/05/2025 06:00:50
1-GN9E-0,1-GFYV-4,Coles Express,1,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,False,E10,178.9,12/04/2025 06:15:45
1-GN9E-0,1-GFYV-4,Coles Express,1,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,False,P95,195.9,20/04/2025 22:45:44
1-GN9E-0,1-GFYV-4,Coles Express,1,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,False,P98,203.9,12/04/2025 06:15:45
1-GN9E-0,1-GFYV-4,Coles Express,1,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,False,U91,180.9,12/04/2025 06:15:45
1-GN9E-1,GSD-206498,Reddy Express,2,Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",-32.927065,151.637938,False,DL,185.9,27/05/2025 02:15:50
1-GN9E-1,GSD-206498,Reddy Express,2,Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",-32.927065,151.637938,False,E10,171.9,18/05/2025 23:05:39
1-GN9E-1,GSD-206498,Reddy Express,2,Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",-32.927065,151.637938,False,P95,191.9,18/05/2025 23:05:39
1-GN9E-1,GSD-206498,Reddy Express,2,Shell Reddy  Express Glendale,"593 Main Rd, Glendale NSW 2285",-32.927065,151.637938,False,P98,199.9,18/05/2025 23:05:39
1-GN9E-10,1-GFYV-4,Coles Express,3,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",-34.00934,151.07548,False,E10,207.9,28/05/2025 01:35:40
1-GN9E-10,1-GFYV-4,Coles Express,3,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",-34.00934,151.07548,False,P95,226.9,28/05/2025 01:35:40
1-GN9E-10,1-GFYV-4,Coles Express,3,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",-34.00934,151.07548,False,P98,234.9,28/05/2025 01:35:40
1-GN9E-10,1-GFYV-4,Coles Express,3,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",-34.00934,151.07548,False,PDL,176.9,07/05/2025 02:35:37
1-GN9E-10,1-GFYV-4,Coles Express,3,Coles Express Oyster Bay,"26-28 Georges River Rd (Cnr Carvers Rd), Oyster Bay NSW 2225",-34.00934,151.07548,False,U91,209.9,28/05/2025 01:35:40
1-GN9E-100,1-GFYV-4,Coles Express,4,Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",-31.111899,150.922823,False,DL,171.9,13/05/2025 06:45:50
1-GN9E-100,1-GFYV-4,Coles Express,4,Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",-31.111899,150.922823,False,P95,183.9,13/05/2025 21:05:42
1-GN9E-100,1-GFYV-4,Coles Express,4,Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",-31.111899,150.922823,False,P98,191.9,13/05/2025 21:05:42
1-GN9E-100,1-GFYV-4,Coles Express,4,Coles Express Tamworth,"251-253 Goonoo Goonoo Rd, Tamworth NSW 2340",-31.111899,150.922823,False,U91,168.9,13/05/2025 21:05:42
1-GN9E-101,GSD-206498,Reddy Express,5,Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",-34.336559,150.912153,False,DL,189.9,13/05/2025 06:35:43
1-GN9E-101,GSD-206498,Reddy Express,5,Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",-34.336559,150.912153,False,E10,187.9,12/04/2025 03:15:50
1-GN9E-101,GSD-206498,Reddy Express,5,Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",-34.336559,150.912153,False,P95,204.9,12/04/2025 03:15:50
1-GN9E-101,GSD-206498,Reddy Express,5,Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",-34.336559,150.912153,False,P98,212.9,12/04/2025 03:15:50
1-GN9E-101,GSD-206498,Reddy Express,5,Shell Reddy Express Bulli,"279-287 Princes Highway, Bulli NSW 2516",-34.336559,150.912153,False,U91,189.9,12/04/2025 03:15:50
